Estação,Prof. (m),Amônio (microM),Nitrito (microM),Nitrato (microM),Fosfato (microM),Silicato (microM),pH 
,160,"0,4435891316","0,219","6,422","0,5456173266","2,553","8,09"
,320,"0,3977006007","0,2647","8,263","0,5693295152","5,279","8,18"
,700,"0,4129967777","0,2486","18,628","0,7881439057","10,934","8,23"
,1295,"0,321219716","0,2715","19,765","1,225772687","12,462","8,2"
,1320,"0,4129967777","0,275","20,162","1,526802936","12,891","8,16"
40,5,0,"0,2142","0,613","0,1505151246","0,8531746032","8,16"
,70,"0,2176","0,2311","1,769","0,1505151246","2,155122655","8,18"
,93,"0,270362414","0,239","4,164","0,2069582963","2,232683983","8,18"
,150,"0,4588853085","0,2189","7,919","0,6020604983","3,163419913","8,07"
,1850,"0,5047738394","0,224","29,347","1,373450512","12,64249639","7,9"
,1875,"0,4588853085","0,25631","28,976","1,448708074","12,79761905","7,89"
,1900,"0,4095476787","0,255","29,554","1,448708074","12,79761905","7,88"
41,5,"0,1812005623","0,2354","1,021","0,0342099777","0,8121909966","8,2"
,40,"0,3753018976","0,2231","0,9341","0,119734922","0,5476710903","8,14"
,63,"0,3892019679","0,23458","1,5687","0,1368399109","1,221506635","8,17"
,86,"0,4309021788","0,3567","2,3417","0,119734922","2,107533177","8,15"
,180,"0,4309021788","0,2948","4,1839","0,256574833","2,786","8,1"
,205,"0,3614018274","0,3214","6,1135","0,5302546548","3,472",8
,230,"0,3336016868","0,4021","6,714","0,5473596436","4,0834","7,98"
43,5,"0,6116030925","0,3476","0,826",0,"0,4953421806","8,1"
,50,"0,3892019679","0,3261","1,257","0,0513149666","0,5906843612","8,05"
,103,"0,4170021085","0,2974","2,146","0,1710498886","2,516848816","8,2"
,150,"0,3892019679","0,2866","3,227","0,2052598664","5,598620869","8,24"
,158,"0,3892019679","0,3124","3,416","0,2394698441","5,853825137","7,97"
,1605,"0,4170021085","0,3258","25,714","0,5644646325","11,73985168","7,89"
,1630,"0,4170021085","0,3671","26,1934","1,077614298","12,03519386","7,88"
45,5,"0,0757627164","0,126","0,3176","0,0614403141","3,300330033",-
,10,"0,0454576299","0,17","0,3461","0,1638408375","4,537953795",-
,20,0,"0,2145","0,3329","0,2457612563","9,240924092",-
,40,"0,2727457791","0,2336","0,4217","0,3072015704","10,80858086",-
,54,"0,2575932358","0,2941","0,5166","0,3481617797","12,45874587",-
46,5,"0,106067803","0,1432","0,3241","0,1843209422","3,300330033","8,02"
,28,"0,0606101731","0,1325","0,3147","0,2048010469","3,877887789","8,06"
,48,"0,1515254328","0,085","0,723","0,3686418844","8,415841584","7,94"
,68,"0,1666779761","0,1152","6,608","0,8396842923","18,48184818","7,87"
,77,"0,1818305194","0,1","5,657","0,9830450252","18,56435644","7,91"
,108,"0,1515254328","0,066","7,282","0,9420848158","18,72937294","7,92"
47,5,"0,0986812795","0,145","0,4217","0,0200501253","0,8080285254","8,05"
,10,"0,197362559","0,1741","0,3994","0,0802005013","0,8814856641","7,95"
,40,"0,1578900472","0,1953","0,6931","0,1002506266","0,5876571094","8,06"
,70,"0,197362559","0,1711","5,675","0,3408521303","1,175314219","8,04"
,90,"0,1776263031","0,164","6,173","0,5012531328","1,68951419","7,84"
,115,"0,2170988149","0,293","7,413","0,6215538847","2,056799883","7,84"
,140,"0,414461374","0,3121","8,479","0,701754386","2,20371416","7,9"
48,5,"0,1184175354","0,088","0,2173","0,1604010025","0,8080285254","8,1"
,20,"0,2763075826","0,055","0,1761","0,1002506266","0,5876571094","8,17"
,40,"0,2565713267","0,1324","0,2354","0,1804511278","1,028399941","8,18"
,60,"0,0789450236","0,1683","0,7145","0,1804511278","0,8814856641","8,14"
,140,"0,2565713267","0,203","8,661","0,5814536341","1,909885606","8,03"
,190,"0,1578900472","0,052","8,721","0,8220551378","2,497542715","7,98"
,215,"0,1381537913","0,094","8,84","0,9022556391","2,570999854","7,97"
,240,"0,2565713267","0,246","13,51","0,9423558897","2,938285547","7,87"
49,5,"0,3157800944","0,127","0,517","0,1002506266","0,5141999707","8,21"
,33,"0,2763075826","0,0934","0,421","0,1002506266","0,5141999707","8,22"
,83,"0,2960438385","0,2103","0,614","0,1403508772","0,5141999707","8,2"
,133,"0,2960438385","0,2247","0,991","0,2005012531","0,6611142481","8,15"
,366,"0,2960438385","0,2017","9,799","0,9423558897","2,717914131","7,95"
,416,"0,2960438385","0,18332","11,975","1,042606516","3,232114102","7,93"
,441,"0,2368350708","0,2356","11,473","1,182957393","3,819771211","7,89"
,466,"0,2960438385","0,2561","12,672","1,223057644","4,480885459","7,85"
50,5,"0,0789450236","0,1745","0,214",0,"1,175314219","8,22"
,55,"0,0789450236","0,2247","0,456","0,0802005013","1,542599912","8,24"
,105,"0,1184175354","0,2639","0,878","0,1804511278","1,68951419","8,2"
,155,"0,1184175354","0,2576","2,7935","0,1804511278","2,20371416","8,19"
,350,"0,1776263031","0,272","5,078","0,7819548872","5,141999707","8,04"
,600,"0,0789450236","0,124","15,886","1,343358396","14,32414204","7,93"
,850,"0,3157800944","0,156","17,543","1,824561404","26,5914842","7,76"
,1100,"0,1184175354","0,225","18,63","1,870651629","28,26625468","7,82"
,1550,"0,1184175354","0,2284","27,717","1,804511278","28,59531129","7,75"
,1700,"0,0986812795","0,225","28,88","1,563909774","29,80202648","7,84"
51,5,0,"0,09614","0,30417",0,"1,469142773","8,18"
,30,"0,0986812795","0,0814","0,4173","0,1203007519","2,056799883","8,21"
,80,"0,0789450236","0,11328","0,7691","0,1403508772","1,68951419","8,21"
,130,"0,0986812795","0,098","1,655","0,3408521303","2,350628438","8,12"
,350,"0,0394725118","0,301","5,179","0,7619047619","4,774714014",8
,550,"0,0592087677","0,281","15,743","1,383458647","12,78154213","7,9"
,750,"0,0789450236","0,2699","16,2436","1,884711779","24,82851287","7,8"
,1000,"0,0986812795","0,2096","17,997","2,105263158","27,4866261","7,76"
,1250,"0,0986812795","0,1906","26,618","2,345864662","27,70399649","7,75"
,1500,"0,1381537913","0,182","27,795","2,245614035","28,07128218","7,74"
,1710,"0,1381537913","0,243","29,559","1,684210526","30,7001694","7,83"
52,5,"0,0789450236","0,2105","0,5743",0,"1,175314219",8
,30,"0,1776263031","0,1947","0,38497","0,0802005013","1,909885606","8,15"
,90,"0,1776263031","0,1822","0,7146","0,1604010025","1,909885606","8,15"
,150,"0,197362559","0,2341","1,1636","0,3007518797","2,350628438","8,05"
,300,"0,197362559","0,1883","6,019","0,701754386","5,582742539","7,98"
,600,"0,2170988149","0,199","15,6","1,343358396","20,78837024","7,83"
,1000,"0,2170988149","0,23417","18,643","2,245614035","27,38668256","7,75"
,1170,"0,2368350708","0,223914","19,48632","2,426065163","28,03796767","7,72"
53,5,"0,0394725118","0,216","0,4219","0,0200501253","1,469142773","8,09"
,30,"0,1776263031","0,113","0,5124","0,1002506266","2,277171299","8,14"
,76,"0,1381537913","0,158","0,6621","0,1804511278","2,277171299","8,15"
,130,"0,1578900472","0,143","1,538","0,320802005","2,277171299","8,06"
,600,"0,2368350708","0,1766","18,6941","1,884711779","26,07728423","7,86"
,660,"0,2565713267","0,1957","19,426","1,824561404","27,47296986","7,79"
,710,"0,1776263031","0,208","23,352","2,065162907","29,25942656","7,75"
54,5,"0,1193326948","0,131","0,3852",0,"0,860131393","8,1"
,35,"0,1988878246","0,1768","0,2861","0,1440019721","1,323279066","8,15"
,55,"0,1988878246","0,216","0,6124","0,2468605235","1,323279066","8,1"
,75,"0,1789990421","0,136","3,756","0,4525776265","1,38944302","8,09"
,100,"0,1988878246","0,186","6,691","0,5348644676","1,654098833","8,03"
,155,"0,2386653895","0,152","8,951","0,5965795985","1,918754646",8
,180,"0,2187766071","0,258","10,081","0,6788664397","2,117246506","7,98"
,205,"0,1988878246","0,31","10,573","0,6788664397","2,117246506","7,95"
55,5,0,"0,0863","0,2143","0,0205717103","0,860131393","8,22"
,35,"0,1842","0,1241","0,18632","0,1851453926","1,786426739","8,15"
,54,0,"0,1165","0,4315","0,2262888132","0,9924592997","8,11"
,75,"0,1941","0,11053","0,9467","0,4525776265","1,720262786","7,96"
,100,"0,1922","0,11038","1,057","0,6582947294","2,646558132","7,9"
,124,"0,201","0,1237","1,2145","0,6788664397","2,580394179",8
56,5,"0,18","0,07621","0,1428","0,0205717103","0,860131393","8,2"
,35,"0,18175","0,127","0,1749","0,0617151309","0,9924592997","8,22"
,45,0,"0,085","0,1587","0,3908624956","5,359280218","8,06"
,55,0,"0,1014","0,2317","0,7611532809","8,072002304","7,94"
,80,"0,201","0,08614","0,3147","0,8845835426","8,336658117","7,95"
57,5,"0,1804250479","0,08","0,4365","0,0822868412","1,19095116","8,21"
,20,0,"0,0739","0,3124","0,1234302618","1,124787206","8,21"
,41,"0,1734614464","0,084","0,3517","0,2880039441","3,308197666","8,16"
58,5,0,"0,09143","0,5132","0,1440019721","2,712722086","8,03"
,10,"0,2830160441","0,1017","0,5207","0,2262888132","2,315738366","8,06"
,15,"0,1734614464","0,123321","0,4931","0,2674322338","3,175869759","8,16"
,20,"0,1552023467","0,0856","0,4627","0,3085756544","2,977377899","8,09"
,26,"0,1552023467","0,09341","0,4722","0,349719075","3,0471","8,18"
59,5,0,"0,1321","0,5431","0,2057171029","3,374361619","8,13"
,25,"0,2008500958","0,1014","0,6142","0,2057171029","3,109705806","8,18"
,38,"0,2008500958","0,11325","0,5719","0,4320059162","3,462","8,14"
,50,"0,3651819923","0,09362","0,6321","0,8228684118","3,674","8,03"
,*65,"0,3651819923","0,105231","0,6547","1,028585515","3,924","7,98"
60,5,0,"0,2246","0,3869","0,0205717103","0,9262953464","8,1"
,20,"0,1825909962","0,205","0,5114","0,0946298674","1,054","8,04"
,29,0,"0,1873","0,6317","0,2880039441","1,19095116","8,24"
,48,"0,195545977","0,192","0,7121","0,5348644676","1,984918599","8,16"
,60,"0,180730364","0,221","2,6822","0,9051552529","3,903673245","8,02"
,95,"0,2008500958","0,187","2,7431","1,13254","3,969837199",8
61,5,"0,1822","0,0871","0,4932",0,"2,514230226","8,21"
,25,0,"0,1834","0,5014","0,034502924","2,183410459","8,21"
,67,0,"0,2044","0,5147","0,069005848","2,315738366","8,19"
,112,"0,1932068654","0,212","1,759","0,2932748538","4,763804638","8,04"
,117,"0,2148102981","0,29","1,578","0,2932748538","3,837509292","8,05"
,132,"0,1962059621","0,191","5,413","0,5002923977","5,359280218","8,03"
,182,"0,190171635","0,25176","8,762","0,5520467836","6,153247658","7,99"
,207,"0,180171635","0,243","10,787","0,6900584795","6,219411611","7,98"
,232,"0,1763775971","0,396","15,203","0,8280701754","6,535149977","7,84"
62,5,0,"0,0739","0,2934",0,"2,712722086","8,22"
,23,"0,1827461608","0,0814","0,4152","0,034502924","2,712722086","8,22"
,83,"0,1827461608","0,1149","0,7631","0,1725146199","3,242033712","8,17"
,150,"0,2035142186","0,29","3,857","0,4485380117","3,903673245","8,08"
,300,"0,1763775971","0,298","14,432","0,6383040936","5,557772078","7,98"
,410,"0,2084462511","0,157","16,434","0,9315789474","8,005838351","7,95"
,460,"0,2244805781","0,193","16,68","1,086842105","11,18170811","7,93"
,510,"0,1849932215","0,264","17,491","1,138596491","12,24033136","7,9"
63,5,"0,1782746161","0,0954","0,3147",0,"0,9262953464","8,23"
,46,0,"0,11","0,6627","0,069005848","1,654098833","8,22"
,84,"0,2244805781","0,128","0,8629","0,1207602339","1,786426739","8,18"
,124,"0,2084462511","0,1763","1,135","0,3105263158","2,712722086","8,12"
,290,"0,3206865402","0,2145","5,2241","0,6210526316","4,432984872","8,04"
,450,"0,2244805781","0,1963","8,106","1,035087719","8,468986024","7,95"
,600,"0,3527551942","0,2472","16,721","1,466374269","19,31987437","7,86"
